date,ticker,S_recency,S_breadth,S_volume,S_events,pos,neg,total,smart_score,S_breadth_raw,S_volume_raw
2025-09-04,IRFC.NS,79.86441866443991,75.0,17.243743076436346,65.0,1,0,2,68.91,,
2025-09-04,ITBEES.NS,23.0093558216095,0.0,17.243743076436346,50.0,0,2,2,24.58,,
2025-09-04,ITC.NS,75.89559576493292,87.5,63.96585964720408,57.49999999999999,6,0,8,72.42,,
2025-09-04,JIOFIN.NS,78.93047899007797,100.0,0.0,50.0,1,0,1,68.02,,
2025-09-04,NBCC.NS,80.59943061155964,70.0,46.72211657076773,60.0,3,1,5,69.94,,
2025-09-04,NESTLEIND.NS,57.9541478942699,50.0,38.96829011373962,57.49999999999999,2,2,4,54.35,,
2025-09-04,NHPC.NS,73.9692345109923,85.71428571428572,58.95674698866278,47.85714285714286,6,1,7,68.29,,
2025-09-04,NMDC.NS,39.64845145850015,20.0,46.72211657076773,50.0,1,4,5,39.01,,
2025-09-04,ONGC.NS,71.71215088901606,90.0,46.72211657076773,61.0,4,0,5,70.19,,
2025-09-04,PNB.NS,71.63497406125398,100.0,17.243743076436346,65.0,2,0,2,70.21,,
2025-09-04,RELIANCE.NS,70.22302046640057,87.5,79.60457061029011,50.0,10,1,12,69.56,,
2025-09-04,SAIL.NS,77.49961316585541,100.0,0.0,50.0,1,0,1,67.37,,
2025-09-04,SILVERBEES.NS,84.21820561027526,100.0,0.0,50.0,1,0,1,70.4,,
2025-09-04,SJVN.NS,54.93652948669002,62.5,38.96829011373962,50.0,2,1,4,53.62,,
2025-09-04,SUNTV.NS,35.70971596647195,25.0,17.243743076436346,35.0,0,1,2,31.54,,
2025-09-04,TATAELXSI.NS,80.7693749666214,100.0,0.0,50.0,1,0,1,68.85,,
2025-09-04,TATAMOTORS.NS,86.17978269100189,100.0,0.0,50.0,1,0,1,71.28,,
2025-09-04,TATASTEEL.NS,44.95345021679218,40.0,46.72211657076773,40.0,2,3,5,42.9,,
2025-09-04,UPL.NS,78.7332024260858,75.0,38.96829011373962,57.49999999999999,3,1,4,68.7,,
2025-09-04,VEDL.NS,63.371050542710826,75.0,38.96829011373962,50.0,3,1,4,59.91,,
2025-09-04,YESBANK.NS,54.74672088650719,47.5,100.0,61.0,9,10,20,59.39,,
2025-09-05,ADANIENSOL.NS,66.556797569071,75.0,40.70066494451412,50.0,3,1,4,61.52,,
2025-09-05,BEL.NS,77.0361711339222,100.0,40.70066494451412,56.25,4,0,4,72.8,,
2025-09-05,BHEL.NS,70.25045605264606,50.0,75.72310676446432,55.00000000000001,4,4,10,62.94,,
2025-09-05,BLS.NS,62.47122431714403,37.5,83.1434724747898,74.58333333333333,4,7,12,62.57,,
2025-09-05,COALINDIA.NS,50.48727816001636,62.5,66.80952676624453,54.37499999999999,5,3,8,55.49,,
2025-09-05,DELTACORP.NS,50.0617157928218,55.55555555555556,100.0,52.5,9,7,18,56.76,,
2025-09-05,EASEMYTRIP.NS,43.77882464062339,25.0,18.01033115117016,50.0,0,1,2,39.0,,
2025-09-05,HDFCBANK.NS,72.9034375339474,85.29411764705883,97.59839123014874,52.05882352941177,13,1,17,72.64,,
2025-09-05,IEX.NS,67.76005028581619,100.0,0.0,50.0,1,0,1,62.99,,
2025-09-05,INDUSINDBK.NS,47.54378978168965,50.0,0.0,35.0,0,0,1,40.14,,
2025-09-05,INFY.NS,81.27099066972733,100.0,0.0,50.0,1,0,1,69.07,,
2025-09-05,IOB.NS,44.78987574577332,0.0,0.0,15.000000000000002,0,1,1,23.91,,
